,이성당,크리스마스,경암동,디저트,아메리카노,지린성,해수욕장,장자도,단팥빵,케이크,박물관,새만금,사진관,선유도,신흥동,칼국수,0,1
74,,,,,,,,,,,,,,,,,새만금,Noun
75,,,,,,,,,,,,,,,,,레트로,Noun
76,,,,,,,,,,,,,,,,,탁류,Noun
77,,,,,,,,,,,,,0.5100326551443909,,,,피부,Noun
78,,,,,,,,,,,,,,,,,생각,Noun
79,,,,,,,,,,,,,,,,,재현,Noun
80,,,,,,,,,,,,,,,,,커뮤니티,Noun
81,,,,,,,,,,,,,,,,,물빛,Noun
82,,,,,,,,,,,,,,,,,종합,Noun
83,,,,,,,,,,,,,,,,,해녀,Noun
84,,,,,,,,,,,,,,,,,분식,Noun
85,,1.0,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,입장,Noun
86,,,,,,,,,,,,,,,,,음식,Noun
87,,,,,,,,,,,,,,,,,블루,Noun
88,,,,,,,,,,,,,,,,,피카소,Noun
89,,,,,,,,,,,,,,,,,태극기,Noun
90,,,,,,,,,,,,,,,,,남천교,Noun
91,,1.0,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,뿌리,Noun
92,,,,,,,,,,,-1.0,,,,,,소바,Noun
93,,,,,,,,,,,,,,,,,테마,Noun
94,,,,,,,,,,,,,,,,,장자,Noun
95,,,-0.55805758578557,,,,,,,,-1.0,,,-0.9769824673710278,,,아스,Noun
96,-0.9780546889286755,0.7062759824932701,-0.9516129032258065,,,,0.9999999999999998,,-0.9999999999999998,,0.28628067962249304,-0.9999999999999998,0.4590310750925457,0.15554275420956376,-0.7773410302664846,,공설,Noun
97,,0.9999999999999998,,,,,,,,,,,1.0,0.9999999999999998,-0.9999999999999998,,국사,Noun
98,,,,,,,,,,,,,,,,,정말,Noun
99,,,,,,,,,,,,,,,,,명소,Noun
100,,,,,,,,,,,,,,,,,사용,Noun
101,,,,,,,,,,,,,,,,,관리,Noun
102,,,,,,,,,,,,,,,,,대웅전,Noun
103,,,,,,,,,,,,,,,,,잡채,Noun
104,,,-0.9073139974779321,,,,,,,,,,,-0.36447537620795917,,,둘레길,Noun
105,,,,,,,,,,,,,,,,,시장,Noun
106,,,,,,,,,,,,,,,,,그냥,Noun
107,,,,,,,,,,,,,,,,,패스,Noun
108,,,,,,,,,,,,,,-0.9999999999999998,,,식당,Noun
109,,,,,,,,,,,,,,,,,친구,Noun
110,,,,,,,,,,,,,,,,,뷔페,Noun
111,,,,,,,,,,,,,,,,,영상,Noun
112,,,,,,,,,,,,,,,,,군산세관,Noun
