단어,빈도수
고현동,1
고혈압,1
고흥군,4
곡성군,5
곡성역,3
곡성읍,1
곤줄박이,1
곤지암,7
곧바로,11
골골거렸던,1
골동품,6
골랐닼,1
골랐쯈,1
골목길,47
골뱅이,4
골짜기,14
골칫거리,1
골키퍼,1
골품제,1
골프장,88
곰나루,1
곰돌이,9
곰소항,7
곰인형,6
곰팅이,2
곰팡이,3
곱깨비,14
곱돌밑,1
곱돌잔,1
곱빼기,4
곱창전골,6
곱하기,2
곳곳이,30
곳이므,1
곳이죵,2
공간활용,2
공공교통,1
공공기관,3
공공미술,1
공공시설,5
공급원,2
공기놀이,1
공기밥,39
공기업,1
공기청정기,11
공도읍,2
공동우,2
공동체,21
공모전,7
공무원,5
공북루,1
공산군,1
공산성,4
공산품,1
공실이,1
공연장,9
공예품,5
공원로,1
공주시,8
공중부양,1
공중위생,1
공중전화,5
공중파,5
공중화장실,5
공지천,1
공직자,3
공청회,3
공통점,6
공평동,3
공포영화,1
공항대로,1
공현진항,1
공화국,17
공휴일,24
곶자왈,1
과거시험,1
과수원,3
과태료,1
과테말라,1
과학관,137
과학기술,2
과학로,1
곽촌리,1
관개용수,1
관계도,2
관계자,24
관광가이드,1
관광농업,1
관광단지로,1
관광도로,1
관광명소,31
관광버스,2
관광벙,1
관광업,2
관광열차,37
관람객,15
관련성,1
관루타,1
관리동,3
관리사,2
관리원,1
관리인,4
관리자,6
관세음보살,1
관심사,3
관악구,1
관엽수,1
관음보살,1
관인면,1
관절염,1
관중석,1
관찰사,5
관촌면,4
광개토대왕,1
광고인,1
광고주,3
광곡길,1
광교산,3
광대싸리,1
광덕면,1
광덕산,1
광명역,5
광목천왕,1
광복군,1
광복절,1
광산구,4
광양시,6
광역시,11
광주시,7
광주카,1
광케이블,1
광탄면,1
광한루,7
광한루원,5
광합성,3
광해군,3
광화문,1
괘안코,1
괜스레,7
괜시리,7
괜쨔냐,1
괜차나,1
괜춘괜춘,1
괜춘할거,2
괜춘했눈데못,1
괜츈한듯,1
괴로움,2
괴산군,5
교과서,6
교대역,2
교도소,2
교동도,1
교동면,1
교두보,1
교룡산,1
교룡산성,1
교산동,2
교육장,3
교육청,3
교육학,1
교차로,2
교통광고,1
교통량,3
교통법,1
교통부,2
교통비,2
교통사고,6
교통신호,1
교통체증,5
교통카드,1
교회당,2
구경꾼,1
구경만,16
구경삼,2
구경오,1
구경이,5
구경해,7
구급상자,1
구급차,1
구기자,1
구기종목,1
구내식당,1
구덩이,2
구들장,4
구렁이,10
구례구역,1
구례군,2
구례읍,1
구룡동,19
구름다리,3
구림면,1
구마모토,6
구명조끼,2
구미대,1
구미동,1
구미시,6
구봉도,1
구석구석,58
구석기시대,1
구성만,2
구성원,2
구성은,4
구속영장,1
구시대,1
구연산,1
구용덕,1
구읍뱃터,1
구의동,1
구이면,1
구이이,1
구이판,1
구이해,4
구일육,10
구일초,2
구장군,2
구절초,1050
구정동,2
구조도,2
구조라해수욕장,1
구좌읍,2
구지면,2
구천동,4
구체화,1
구한말,4
국가대표,1
국가하천,2
국내외,7
국동항,1
국립공원,501
국립광주과학관,2
국립남도국악원,1
국립무형유산원,2
국립민속국악원,2
국민연금,19
국민은행,2
국민장,2
국민학교,3
국밥집,24
국방부,2
국사봉,28
국수나무,23
국숫집,2
국악기,3
국악원,17
국정원,1
국제공항,3
국제연합,2
국지도,3
국채보상로,2
국토교통부,2
국토부,2
국토해양부,1
국화도,2
국화빵,2
국화축제,2
국회의사당,1
국회의원,3
군것질,7
군남면,1
군내버스,11
군더더기,7
군데군데,36
군사시설,1
군산항,2
군생활,1
군시설,1
군위군,1
군자금,1
군자정,1
군포시,1
굴거리나무,12
굴라쉬,4
굴렁쇠,5
굴렁쇠굴리기,1
굴렸습니,1
굴린듯,1
굴삭기,207
굴짬뽕,12
굶주림,2
굼벵이,2
굿굿굿,5
굿굿임,1
굿굿화,1
굿모닝,1
굿바이,2
굿즈들,2
굿즈롸,1
궁굼애,1
궁굼증,1
궁굼해,1
궁금증,11
궁남지,1
궁둥이,2
궁딩이,1
궁류면,3
궁서체,2
궁평리,2
궈주시궜,1
권삼득,1
권상로,1
권수호,1
권역별,2
귀뚜라미,1
귀마개,1
귀여미,3
귀여웡,5
귀염둥이,6
귀염뽀짝맛,1
귀염이,1
귀엽쟈,1
귀엽쬬,2
귀요미,18
귀욤귀욤,4
귀욤댕,1
귀욤미,1
귀욤진,1
귀차니즘,4
귀퉁이,1
귓바퀴,1
귓속말,3
규암면,1
균형발전,4
귤나무,2
그거슨,1
그날그날,4
그남자,2
그다려얄판,1
그다음,13
그다지,13
그동안,69
그라데이션,1
그라스,4
그라인더,2
그라탕,33
그래그래,2
그래듀,1
그래미,1
그래퍼,1
그래픽,1
그랜드,2
그랜드슬램,1
그랜버드,1
그랜져,1
그러넿,1
그렇쥬,1
그레이,5
그레텔,1
그루밍,1
그르케,1
그리기,2
그리므,1
그리스,1
그리움,16
그리피스,1
그린티,13
그림자,12
그윽해,1
그을음,1
그저께,1
그쵸잉,1
극락세계,1
극락왕생,1
극락전,5
극락정토,2
극락조화,1
근거리,3
근대건축,1
근대사,2
근대역사관,2
근대화,3
근덕면,3
근로기준법,1
근무시간,1
근육통,6
근현대사,2
근화동,1
근흥면,5
글공부,3
글라스,2
글라이딩,3
글래디에이터,1
글램핑,29
글로벌,2
글리코겐,1
글쓰기,1
